reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4524d0a5-f648-4c48-9a68-6eb0818f81f4,Grace Gaffney,https://play-lh.googleusercontent.com/a-/ALV-UjU4On5rJAGfEvWQ3ANIeR4-rDlCA4r0t8F49Iyf855TbwW8-i8,sorry but every time I click to play the game it kicks me off I have restarted my phone re-installed it but it just won't let me play it :[,1,0,3.7.8,2025-05-12 15:17:56,,,3.7.8
c4c38c62-946b-45ae-be38-37e287e6556a,Angelina Watret,https://play-lh.googleusercontent.com/a-/ALV-UjW-I9fvk9CiICU0B-d2JgOt-64Bg7fFcj1Jg_rtC96D7vEJfn8,Impressed by understanding of Neurodiversity as a factor. Helpful if you need a reminder to have Helpful perspectives in the moment.,4,0,3.7.5,2025-05-12 12:42:11,,,3.7.5
c50dcea9-73b9-4bdc-b388-9240d2ce9c79,Ellie Murphy,https://play-lh.googleusercontent.com/a-/ALV-UjU1nhbC11LBjc9thiHHCHFG0Cj_bXM2qkwZOBgMd-vltHoR8vej,very helpful 👌 ☺️ 🙂 👏 😀,5,0,3.7.8,2025-05-12 01:22:22,,,3.7.8
8844ac60-7648-4740-92ae-e6a76880bf32,Jason Langang,https://play-lh.googleusercontent.com/a/ACg8ocJdLjQlcT8m9Jfeueqq92dQP3yKmgZx5YkyPdZdiNyHmdoiCQ=mo,alr.,5,0,3.7.8,2025-05-11 20:42:29,,,3.7.8
9b12d16a-7aa5-42ef-a4ce-83ea0ec54544,MasteryWithin,https://play-lh.googleusercontent.com/a/ACg8ocLlBiziS2eib-KTjFAPtOIUzWT2rC_KRmJPbRNkjgREhfQ2-Q=mo,Good app for feeling better.,5,0,3.7.8,2025-05-11 18:17:26,,,3.7.8
7dc0a5d6-ce7c-4a29-bb46-5499830f80ab,siva ram Prasad,https://play-lh.googleusercontent.com/a/ACg8ocI0zr19FS0fwv0gidkud-DWEKZlFjGaVNb2WDaz1_4JTc2PgA=mo,exellent guiding app so far...,5,0,3.7.5,2025-05-10 02:47:06,,,3.7.5
c41ad024-c09e-438b-9578-29da6ed297bd,Melissa Mutero,https://play-lh.googleusercontent.com/a/ACg8ocL_JbcHhR-n7ayN6qHF-_JlrAPkhy4FEuiPEwPUepyzHNi-QQ=mo,very good,1,0,3.7.3,2025-05-09 20:53:52,,,3.7.3
5cb9a92e-ad12-4492-a939-0eb32058b394,Kurt Fuentes,https://play-lh.googleusercontent.com/a/ACg8ocLDSjD4IFhD8l0jm43Eth1ymtTl-yGCWoYRLkLsDRUkoCA5_w=mo,Very helpful. Felt like I'm just talking to a real person.,4,0,3.7.8,2025-05-09 17:52:06,,,3.7.8
859be67e-9654-4cf1-9deb-6d0a1a49360f,Bell Noor,https://play-lh.googleusercontent.com/a-/ALV-UjVxpheUcSr5hseBG956Crj6z8IVK8Car1Z17td0VquuowMDp5Y,"It has been beneficial, providing me a voice and enhancing my feelings of connection through positive responses.The app effectively alleviates loneliness, allowing me to share thoughts and receive empathy, similar to support from a friend. It has also boosted my self-esteem and confidence, serving as a constructive outlet for stress and managing depression.However,a limitation is that it doesn't retain previous conversations, which deeper relationship building.",4,0,3.7.7,2025-05-08 20:58:55,"Hi Bell, Wysa retains previous conversations in the Journey Tab of the app, though we're currently working on a newer version of Wysa that learns from users' context and builds on it! If you would like to be a part of the Beta test group who helps to build the next version of Wysa, please email us at wysa@wysa.io.",2025-05-13 11:17:16,3.7.7
1c6832ad-beef-4ea8-8715-f02923e673b2,Jevauhn Sydial,https://play-lh.googleusercontent.com/a-/ALV-UjVfysn5QRXu44HN5qeB2wNOeIeE5lZDAjhWSWfUZq3o70ynu7Wk,very helpful 👌,4,0,3.7.7,2025-05-08 10:12:23,,,3.7.7
