reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e1c9409f-0420-4005-b91f-656777f3bd99,Bell,https://play-lh.googleusercontent.com/a-/ALV-UjW4xSAwCcyl7VCFB9imrL53olNyOW4z9FV-6h9FDm7HE-3Z_W3b,"I really like this. It helps me and my boyfriend communicate more, since I struggle in understanding my feelings due to my borderline personality disorder and depression.",5,0,0.0.370,2025-05-12 20:03:25,,,0.0.370
cc8ffbd0-9ab2-4627-b0ad-cc0722ff3b83,Jeffrey “Der Kaiser” McAllister,https://play-lh.googleusercontent.com/a-/ALV-UjVt3mZ1bVTenUq9pimwLe1rBehFmvyUJyvOlZjr1XKQNvAXRm4R,"I liked this app until I realized the developer thinks he or she knows better than all the rest of us and refuses to listen to user feedback. for all the large vocabulary, the emotional descriptors are still limited (mostly redundant, also where is ""hostility""?). also the padding in the journal entry field is so small I have a hard time typing and editing entries. I've mentioned both a year ago; nothing's changed. you get what you pay for I guess. time for me to make my own app.",3,0,0.0.370,2025-05-12 01:41:28,Thank you so much for your review!,2024-10-11 19:24:50,0.0.370
18996b09-a624-4042-9b2c-10d169c45bbc,Danielle “Dee” Bernier,https://play-lh.googleusercontent.com/a-/ALV-UjX_4MbA6Re9GisuBP9aM4VqFjCxKJ2B3D1Lown5W7Oo1mtLonMzzA,Love this app - use it everyday! I highly recommned it to anyone wanting to track their moods and habits in the same place.,5,0,0.0.370,2025-05-12 01:12:49,,,0.0.370
7a59c64b-d48c-49e0-9055-b9e36c128365,Bolat Blogs,https://play-lh.googleusercontent.com/a/ACg8ocIysDijO-0-MZskpzr0g2TfvxZ5RiAuM18oJmNzaDbRlIcinw=mo,Amazing app,5,0,0.0.370,2025-05-11 22:52:59,,,0.0.370
71e53683-57a0-4059-b87f-2185fbc6a570,Victoria Bramnik,https://play-lh.googleusercontent.com/a-/ALV-UjXXqQTESeRQwrkt_ZIgq-TAjV99yePvaJLxciue9aAcd64CnBbpXQ,This app is the best I've seen to manage and understand emotions. I am so happy this is for free! I will share it with all my friends!,5,0,0.0.370,2025-05-11 18:53:01,,,0.0.370
6bdc0f33-bf5d-4f80-a91a-0063eb230ace,Alice Mylaeus,https://play-lh.googleusercontent.com/a-/ALV-UjUMBoDRbRytsq7Qhv60f8tOdBiLVAtw3tlZn6d-GwqL7A3Lqztz,"nice app but very privacy unfriendly - you don't need exact alarms permission for ""surprise me"" notifications and you also don't need exact location permission for weather (approximate should suffice)",4,1,0.0.370,2025-05-11 17:15:31,,,0.0.370
3c8e3720-2872-48da-ad6c-85a0c5b5f5e4,EL,https://play-lh.googleusercontent.com/a-/ALV-UjWKjeuQbLOUagktffneuNuAo4gFVdQSk7IZZ0uLfJkft9LUpkoa0w,This is such a wonderful app!!!,5,0,0.0.370,2025-05-10 23:09:15,,,0.0.370
3c7aff37-c193-40ae-816a-a9fbdda55683,Audrey Lee,https://play-lh.googleusercontent.com/a-/ALV-UjXFsGFdMOji7OODZhfuFRDENwSvI_HOMnG2wBKipWlpN9YPvRr5,"I adore this app & it has really helped me to stay aware and manage my emotional well-being, the free service provided, in general, along with the depth of insights, has been a valuable tool for self evaluation and reflection. thank you to developers! 💕",5,0,,2025-05-10 10:37:20,,,
959b4c23-3f0c-430d-86fb-a2b3d12fa08b,Aria,https://play-lh.googleusercontent.com/a/ACg8ocL8bwdCD3SmNWNzalVB__vVkwMafw3o6iuALtV2XTXg0nAX7iQ=mo,so much easier communicating in my relationship. I have bpd and it's very difficult to convey my feelings at times. We've been searching for so long for an app like this thank you<3,5,0,0.0.370,2025-05-08 17:57:07,,,0.0.370
6e85268a-34c2-4491-831c-19a4bbc56b65,Haou Supreme,https://play-lh.googleusercontent.com/a-/ALV-UjVRWykdQIBRBWqcDSnAmGa19STEAODSF9ieaodxWjKk8AVlUjw,Great app but notifications don't seem to work at all for some reason? Notifications are enabled in app and phone settings...,4,0,0.0.370,2025-05-07 05:29:38,,,0.0.370
